Name,OnStreetName,AtCrossStreet,Latitude,Longitude
M049NBV-13,I49 N,I-470,38.93729,-94.53389
M049NBVR-02,I49 N,135th Street,38.8791,-94.5258
M049NBVR-23,I49 N,Hickman Mills Drive,38.9124,-94.5245
M049NBVR-24,I49 N,Red Bridge Road,38.9228,-94.5276
M049NBVR-27,I49 N,Harry S Truman Drive,38.8957,-94.5246
M049NBVR-30,I49 N,140th Street,38.8703,-94.5264
M049SBRV-04A,I49 S,I470WB TO US71SB FF,38.92792,-94.52807
M049SBRV-05A,I49 S,I-470EB TO I-49SB FF,38.9309,-94.52843
M049SBRV-13A,I49 S,I-435 SB Freeway to Freeway,38.937542,-94.534515
M049SBV-04,I49 S,BEFORE I470WB FF,38.92789,-94.52813
M049SBV-05,I49 S,AT I-470EB R,38.93105,-94.52838
M049SBV-08,I49 S,I-470/I-49 Split,38.93544,-94.532104
M049SBV-13,I49 S,I-470,38.937363,-94.534264
M049SBVR-02,I49 S,135th Street,38.8791,-94.526
M049SBVR-23,I49 S,Hickman Mills Drive,38.9123,-94.5248
M049SBVR-24,I49 S,Red Bridge Road,38.9228,-94.5279
M049SBVR-27,I49 S,Harry S Truman Drive,38.8957,-94.5248
M049SBVR-30,I49 S,140th Street,38.8703,-94.5266
M050EBVR-01,US50 E,Chipman Road,38.9257,-94.4042
M050WBVR-01,US50 W,Chipman Road,38.9257,-94.404
M070EBRV-08A,I70 E,I-70EB TO I-35NB FF,39.1064,-94.5733
M070EBRV-46A,I70 E,I-435 TO I-435SB FF,39.0607,-94.4932
M070EBV-57,I70 E,PITTMAN RD,39.0478,-94.4574
M070EBV-64,I70 E,CRYSLER AVE,39.0472,-94.4389
M070EBV-69,I70 E,EAST OF PHELPS RD,39.04529,-94.40111
M070EBV-70,I70 E,WEST OF LEES SUMMIT,39.04484,-94.38986
M070EBV-71,I70 E,EAST OF LEES SUMMIT,39.04467,-94.38574
M070EBV-73,I70 E,I-470 INTERCHANGE,39.04228,-94.36696
M070EBV-76,I70 E,AT LITTLE BLUE,39.04016,-94.35158
M070EBV-77,I70 E,W OF LITTLE BLUE PKW,39.03935,-94.34492
M070EBV-78,I70 E,E OF LITTLE BLUE PKW,39.03829,-94.33733
M070EBV-79,I70 E,NW SCRIMSHAW RD,39.03693,-94.32732
M070EBV-80,I70 E,NW 50TH ST,39.0354,-94.3154
M070EBV-81A,I70 E,W OF WOODS CHAPEL,39.03437,-94.30771
M070EBV-81B,I70 E,E OF WOODS CHAPEL,39.03391,-94.30377
M070EBV-82,I70 E,NW SAUNDERS RD,39.03283,-94.2948
M070EBV-83,I70 E,NW 19TH STREET,39.03167,-94.28478
M070EBV-84,I70 E,WEST OF MO7,39.03025,-94.27361
M070EBVR-01,I70 E,Broadway,39.1068,-94.5915
M070EBVR-02,I70 E,BROADWAY,39.107,-94.5877
M070EBVR-04,I70 E,Wyandotte,39.1067,-94.5813
M070EBVR-04A,I70 E,Walnut,39.1068,-94.5846
M070EBVR-07,I70 E,BURLINGTON,39.1068,-94.5775
M070EBVR-08,I70 E,CHARLOTTE,39.1064,-94.5733
M070EBVR-11A,I70 E,11TH ST,39.1017,-94.5726
M070EBVR-16,I70 E,TROOST AVE,39.0962,-94.5681
M070EBVR-17,I70 E,PASEO BLVD,39.0959,-94.5653
M070EBVR-21,I70 E,BROOKLYN AVE,39.0957,-94.5587
M070EBVR-22,I70 E,PROSPECT AVE,39.0958,-94.5536
M070EBVR-23,I70 E,CHESTNUT AVE,39.0962,-94.5516
M070EBVR-26,I70 E,TRUMAN RD,39.0962,-94.5471
M070EBVR-29,I70 E,18TH ST,39.0896,-94.5418
M070EBVR-30,I70 E,23RD ST,39.0857,-94.5413
M070EBVR-31,I70 E,23RD ST,39.084,-94.541
M070EBVR-32,I70 E,27TH ST,39.0773,-94.5372
M070EBVR-35,I70 E,JACKSON AVE,39.0727,-94.534
M070EBVR-36,I70 E,LISTER AVE,39.072,-94.5245
M070EBVR-39,I70 E,VAN BRUNT BLVD,39.0711,-94.5198
M070EBVR-41,I70 E,31ST ST,39.0695,-94.5129
M070EBVR-42,I70 E,31ST ST,39.067596,-94.509003
M070EBVR-43,I70 E,Manchester Trwy,39.0634,-94.4996
M070EBVR-48,I70 E,I-435,39.058559,-94.489044
M070EBVR-52,I70 E,After Stadium Drive,39.053867,-94.479073
M070EBVR-54,I70 E,EAST OF BLUE RIDGE CUTOFF,39.0482,-94.4669
M070EBVR-62,I70 E,US-40 Hwy,39.0471,-94.4434
M070EBVR-66,I70 E,East of Chrysler Ave,39.04631,-94.424217
M070EBVR-67,I70 E,NOLAND ROAD,39.04582,-94.41609
M070EBVR-69,I70 E,East of Phelps Road,39.045265,-94.398849
M070EBVR-72,I70 E,West of I-470,39.043602,-94.376274
M070EBVR-74,I70 E,I-470,39.0418,-94.3629
M070WBRV-48,I70 W,I-70WB TO I-435SB OR,39.0591,-94.4881
M070WBV-57,I70 W,PITTMAN RD,39.0478,-94.4574
M070WBV-59,I70 W,STERLING AVE,39.0476,-94.452
M070WBV-64,I70 W,CRYSLER AVE,39.0472,-94.4374
M070WBV-69,I70 W,EAST OF PHELPS RD,39.04561,-94.40112
M070WBV-70,I70 W,WEST OF LEES SUMMIT,39.04515,-94.38984
M070WBV-71,I70 W,EAST OF LEES SUMMIT,39.04498,-94.38574
M070WBV-73,I70 W,I-470 INTERCHANGE,39.04261,-94.36688
M070WBV-76,I70 W,AT LITTLE BLUE RIVER,39.04054,-94.35142
M070WBV-77,I70 W,W OF LITTLE BLUE PKW,39.03968,-94.34495
M070WBV-78,I70 W,E OF LITTLE BLUE PKW,39.03859,-94.33743
M070WBV-79,I70 W,NW SCRIMSHAW RD,39.03727,-94.32729
M070WBV-80,I70 W,NW 50TH ST,39.03564,-94.31547
M070WBV-81A,I70 W,W OF WOODS CHAPEL,39.03473,-94.30766
M070WBV-81B,I70 W,E OF WOODS CHAPEL,39.0343,-94.30374
M070WBV-82,I70 W,NW SAUNDERS RD,39.0331,-94.29469
M070WBV-83,I70 W,NW 19TH STREET,39.03209,-94.28482
M070WBV-84,I70 W,WEST OF MO7,39.03063,-94.27335
